rt	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric
12.07		51286_00001	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	
15.99		51286_00002	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
8.675		51286_00003	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	
7.75		51286_00004	C1=C(C=C(C=C1O)O)C(=O)O	
10.6		51286_00005	C1=CC(=CC=C1C(=O)O)O	
14.2		51286_00006	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
8.53		51286_00007	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	
18.42		51286_00008	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
20.37		51286_00009	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	
20.34		51286_00010	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	
15.55		51286_00011	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O	
12.19		51286_00012	C1=CC(=O)OC2=CC(=C(C=C21)O)O	
11.84		51286_00013	COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
12.6		51286_00014	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O	
21.13		51286_00015	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	
20.53		51286_00016	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
