rt	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric
20.59		51286_00017	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O	
17.61		51286_00018	COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
20.285		51286_00019	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
20.49		51286_00020	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	
19.73		51286_00021	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	
10.73		51286_00022	COC(=O)C1=CC(=C(C(=C1)O)O)O	
20.46		51286_00023	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	
21.04		51286_00024	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	
19.53		51286_00025	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	
19.73		51286_00026	C1=CC=C(C(=C1)C=CC(=O)O)O	
20.67482759		51286_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O	
17.57		51286_00028	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O	
20.21		51286_00029	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
21.06		51286_00030	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	
17.88		51286_00031	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O	
9.66		51286_00032	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	
21.89		51286_00033	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC	
17.38		51286_00034	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	
19.91		51286_00035	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	
20.37		51286_00036	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	
20.11		51286_00037	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O	
20		51286_00038	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O	
20		51286_00039	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	
13.78		51286_00040	COC1=CC(=CC(=C1O)OC)C(=O)O	
16.82		51286_00041	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	
10.7		51286_00042	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
20.75625		51286_00043	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O	
20.59		51286_00044	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O	
21.96		51286_00045	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	
19.35		51286_00046	CCOC1=CC=C(C=C1)NC(=O)C	
19.86		51286_00047	COC1C(C(C(C(O1)C(=O)O)O)O)O	
16.06	removed duplet entry	51286_00048	COC(=O)C1=COC(C2C1CC=C2CO)O	
19.30034483		51286_00049	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O	
18.3487931		51286_00050	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	
12.73		51286_00051	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
7.77		51286_00052	C1=CC(=C(C=C1C(=O)O)O)O	
17.82		51286_00053	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O	
15.16		51286_00054	CCOC(=O)C1=CC(=C(C(=C1)O)O)O	
10.7		51286_00055	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O	
1.2425		51286_00056	C(CC(C(=O)O)N)CN=C(N)N	
1.46		51286_00057	C(C(C(=O)O)O)(C(=O)O)O	
1.58		51286_00058	C1C(C(C(CC1(C(=O)O)O)O)O)O	
3.94		51286_00059	C(CC(=O)O)C(=O)O	
3.95		51286_00060	CCC(=O)O	
4.02		51286_00061	CC(CC(=O)O)(C(=O)O)O	
4.28		51286_00062	C1=CC(=CC=C1CC(C(=O)O)N)O	
4.44		51286_00063	CCC(C)C(C(=O)O)N	
1.294827586		51286_00064	C[N+](C)(C)CCO	
1.340862069		51286_00065	C[N+](C)(C)CC(=O)[O-]	
1.340862069		51286_00066	CC(C)C(C(=O)O)N	
1.510344828		51286_00067	C1CC(NC1)C(=O)O	
1.696551724		51286_00068	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	
2.337068966		51286_00069	C1=CNC(=O)NC1=O	
3.442586207		51286_00070	C12=C(NC(=O)N1)NC(=O)NC2=O	
3.966206897		51286_00071	C1=NC2=C(N1)C(=O)NC(=O)N2	
