rt	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric	
12.07		41005_00001	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O		
15.99		41005_00002	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		
8.675		41005_00003	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O		
7.75		41005_00004	C1=C(C=C(C=C1O)O)C(=O)O		
10.6		41005_00005	C1=CC(=CC=C1C(=O)O)O		
14.2		41005_00006	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O		
8.53		41005_00007	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O		
18.42		41005_00008	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		
20.37		41005_00009	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O		
20.34		41005_00010	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O		
15.55		41005_00011	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O		
12.19		41005_00012	C1=CC(=O)OC2=CC(=C(C=C21)O)O		
11.84		41005_00013	COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		
12.6		41005_00014	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O		
21.13		41005_00015	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O		
20.53		41005_00016	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		
20.59		41005_00017	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O		
17.61		41005_00018	COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		
20.285		41005_00019	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		
20.49		41005_00020	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O		
19.73		41005_00021	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O		
10.73		41005_00022	COC(=O)C1=CC(=C(C(=C1)O)O)O		
20.46		41005_00023	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O		
21.04		41005_00024	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O		
19.53		41005_00025	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O		
19.73		41005_00026	C1=CC=C(C(=C1)C=CC(=O)O)O		
20.67482759		41005_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O		
17.57		41005_00028	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O		
20.21		41005_00029	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O		
21.06		41005_00030	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O		
17.88		41005_00031	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O		
9.66		41005_00032	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O		
21.89		41005_00033	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC		
17.38		41005_00034	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O		
19.91		41005_00035	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O		
20.37		41005_00036	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O		
20.11		41005_00037	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O		
20		41005_00038	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O		
20		41005_00039	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O		
13.78		41005_00040	COC1=CC(=CC(=C1O)OC)C(=O)O		
16.82		41005_00041	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O		
10.7		41005_00042	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		
20.75625		41005_00043	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O		
20.59		41005_00044	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O		
21.96		41005_00045	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O		
19.35		41005_00046	CCOC1=CC=C(C=C1)NC(=O)C		
19.86		41005_00047	COC1C(C(C(C(O1)C(=O)O)O)O)O		
2.43	doublet	41005_00048	COC(=O)C1=COC(C2C1CC=C2CO)O		
16.06		41005_00049	COC(=O)C1=COC(C2C1CC=C2CO)O		
19.30034483		41005_00050	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O		
18.3487931		41005_00051	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O		
12.73		41005_00052	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		
7.77		41005_00053	C1=CC(=C(C=C1C(=O)O)O)O		
17.82		41005_00054	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O		
15.16		41005_00055	CCOC(=O)C1=CC(=C(C(=C1)O)O)O		
10.7		41005_00056	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O		
1.2425		41005_00057	C(CC(C(=O)O)N)CN=C(N)N		
1.46		41005_00058	C(C(C(=O)O)O)(C(=O)O)O		
1.58		41005_00059	C1C(C(C(CC1(C(=O)O)O)O)O)O		
3.94		41005_00060	C(CC(=O)O)C(=O)O		
3.95		41005_00061	CCC(=O)O		
4.02		41005_00062	CC(CC(=O)O)(C(=O)O)O		
4.28		41005_00063	C1=CC(=CC=C1CC(C(=O)O)N)O		
